MODEL,ITERATION,NUMBEROFEVENTS,NUMBEROFEDGES,CPP_TIME,ETA_TIME,ETAP_TIME,GETA_TIME,GETAP_TIME,CPP_CES,ETA_CES,ETAP_CES,GETA_CES,GETAP_CES,CPP_TOTALEVENTS,ETA_TOTALEVENTS,ETAP_TOTALEVENTS,GETA_TOTALEVENTS,GETAP_TOTALEVENTS,CPP_AVGTCLEN,ETA_AVGTCLEN,ETAP_AVGTCLEN,GETA_AVGTCLEN,GETAP_AVGTCLEN
23.esg4wsc,21,7,9,501287432,179076,220016,381036,403196,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,22,7,9,501342334,183250,218932,381533,402748,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,23,7,9,501305524,190139,218638,381440,401873,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,24,7,9,501303097,207736,218828,378981,401881,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,25,7,9,501253179,178354,250718,398222,418644,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,26,7,9,501257506,175813,221312,411944,409285,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,27,7,9,501272706,177611,223388,382732,405018,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,28,7,9,501289998,176453,219219,382774,439370,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,29,7,9,501280806,176362,229435,381437,405314,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,30,7,9,501269504,178194,225440,378017,404521,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
