SEED,ITERATION,NUMBEROFEVENTS,NUMBEROFEDGES,CPP_TIME,ETA_TIME,ETAP_TIME,GETA_TIME,GETAP_TIME,CPP_CES,ETA_CES,ETAP_CES,GETA_CES,GETAP_CES,CPP_TOTALEVENTS,ETA_TOTALEVENTS,ETAP_TOTALEVENTS,GETA_TOTALEVENTS,GETAP_TOTALEVENTS,CPP_AVGTCLEN,ETA_AVGTCLEN,ETAP_AVGTCLEN,GETA_AVGTCLEN,GETAP_AVGTCLEN
-9121326358706899863,12,50,82,506128840,1307042,2114279,2116172,2382913,25.00,32.00,28.00,28.00,27.00,132.00,168.00,146.00,144.00,140.00,5.28,5.25,5.21,5.14,5.19
7873575250804535659,13,50,80,506492795,1828284,2668819,3516423,3274587,26.00,30.00,27.00,29.00,27.00,128.00,148.00,132.00,140.00,132.00,4.92,4.93,4.89,4.83,4.89
-6916932857688362340,14,50,81,505600939,1271984,3773691,2775660,1793049,24.00,31.00,26.00,27.00,24.00,118.00,156.00,128.00,134.00,118.00,4.92,5.03,4.92,4.96,4.92
884244405560935303,15,50,82,505750149,2018939,2338348,1373894,1860009,26.00,32.00,28.00,30.00,26.00,126.00,156.00,138.00,144.00,126.00,4.85,4.88,4.93,4.80,4.85
-2135362256117092632,16,50,83,505457910,1978821,2064391,1489718,1925931,24.00,33.00,27.00,29.00,26.00,118.00,158.00,130.00,138.00,126.00,4.92,4.79,4.81,4.76,4.85
-6226293356593547126,17,50,83,505938896,3858202,1955394,1273953,1466998,24.00,33.00,28.00,28.00,25.00,126.00,162.00,142.00,154.00,142.00,5.25,4.91,5.07,5.50,5.68
180471374083161534,18,50,79,505321522,2525795,3843963,1797066,1291477,13.00,29.00,24.00,22.00,20.00,148.00,240.00,208.00,200.00,190.00,11.38,8.28,8.67,9.09,9.50
-150443721719438971,19,50,79,505356596,1903159,2785746,879981,1082063,20.00,29.00,24.00,23.00,22.00,142.00,194.00,166.00,170.00,164.00,7.10,6.69,6.92,7.39,7.45
9025480280283006130,20,50,76,505191436,1432590,2323809,824316,1159573,20.00,26.00,21.00,24.00,20.00,138.00,180.00,146.00,166.00,138.00,6.90,6.92,6.95,6.92,6.90
6430864061368334206,21,50,77,505806491,5579031,1638030,1210105,1852526,23.00,27.00,24.00,25.00,23.00,198.00,226.00,202.00,246.00,230.00,8.61,8.37,8.42,9.84,10.00
-6498349568653106832,22,50,78,505101194,1568136,2711905,1691762,1965973,21.00,28.00,23.00,25.00,21.00,152.00,206.00,166.00,182.00,152.00,7.24,7.36,7.22,7.28,7.24
-1363864684433564284,23,50,79,505028829,2021354,3301052,1245250,1247049,18.00,29.00,22.00,24.00,22.00,190.00,266.00,212.00,228.00,212.00,10.56,9.17,9.64,9.50,9.64
-3432754294703895568,24,50,78,503862040,2008891,3289208,916152,873459,18.00,28.00,24.00,20.00,20.00,104.00,164.00,140.00,116.00,116.00,5.78,5.86,5.83,5.80,5.80
-1943074848299782141,25,50,81,504897892,5365612,1787232,1055136,1286716,22.00,31.00,26.00,26.00,24.00,122.00,164.00,140.00,146.00,136.00,5.55,5.29,5.38,5.62,5.67
-2574339283141482519,26,50,79,504264931,2657850,2054035,992108,1443891,12.00,29.00,20.00,21.00,16.00,124.00,232.00,174.00,184.00,154.00,10.33,8.00,8.70,8.76,9.63
1431801589446194521,27,50,81,503553626,2095647,2511019,1067571,1278349,22.00,31.00,27.00,28.00,25.00,106.00,148.00,130.00,130.00,118.00,4.82,4.77,4.81,4.64,4.72
2655098517759555970,28,50,82,503790368,2078646,3139288,1046048,1014403,25.00,32.00,28.00,27.00,27.00,114.00,156.00,132.00,126.00,126.00,4.56,4.88,4.71,4.67,4.67
-1969855901038034007,29,50,83,504442241,2067810,2832534,952337,1136638,26.00,33.00,30.00,29.00,27.00,120.00,154.00,140.00,132.00,124.00,4.62,4.67,4.67,4.55,4.59
9113145297528648015,30,50,85,504124882,2318174,3157406,1141474,1437450,30.00,35.00,32.00,32.00,30.00,116.00,142.00,128.00,124.00,116.00,3.87,4.06,4.00,3.88,3.87
4023350835930738670,31,50,80,503935527,1972248,2662282,1239487,904339,17.00,30.00,26.00,23.00,22.00,146.00,210.00,186.00,186.00,178.00,8.59,7.00,7.15,8.09,8.09
-5236495210075913349,32,50,79,503426131,2389907,5173888,1498110,1763266,12.00,29.00,20.00,18.00,14.00,116.00,236.00,172.00,156.00,132.00,9.67,8.14,8.60,8.67,9.43
4741541431453342290,33,50,77,503716255,1408064,1780610,1134291,883762,19.00,27.00,23.00,25.00,21.00,152.00,204.00,178.00,190.00,164.00,8.00,7.56,7.74,7.60,7.81
2969933807078948416,34,50,80,503628744,1750299,2278655,1458668,1694689,21.00,30.00,26.00,24.00,22.00,114.00,170.00,144.00,132.00,120.00,5.43,5.67,5.54,5.50,5.45
3822614525062769599,35,50,79,504655351,1947314,2204379,1735797,1765168,22.00,29.00,24.00,25.00,22.00,132.00,166.00,142.00,146.00,132.00,6.00,5.72,5.92,5.84,6.00
6826833989816161183,36,50,75,503497186,1738484,2078756,1090514,2986445,14.00,25.00,19.00,17.00,14.00,150.00,234.00,190.00,230.00,210.00,10.71,9.36,10.00,13.53,15.00
-1374281809366312778,37,50,78,504095125,1826167,2201352,1209559,1378903,20.00,28.00,21.00,21.00,20.00,160.00,222.00,164.00,174.00,168.00,8.00,7.93,7.81,8.29,8.40
-206390321031869875,38,50,81,503659846,2281464,2864691,1791804,2179643,18.00,31.00,25.00,25.00,21.00,122.00,194.00,160.00,158.00,136.00,6.78,6.26,6.40,6.32,6.48
5176846492106505568,39,50,80,503484324,4014922,5043534,1688457,1124656,6.00,30.00,24.00,17.00,15.00,112.00,284.00,240.00,216.00,204.00,18.67,9.47,10.00,12.71,13.60
-1348177424518968852,40,50,78,502956314,2186208,4867448,1346987,1560523,12.00,28.00,19.00,17.00,15.00,128.00,258.00,184.00,164.00,150.00,10.67,9.21,9.68,9.65,10.00
-2229170267324897566,41,50,81,503498941,2627603,2866517,1781163,1203416,17.00,31.00,25.00,21.00,20.00,128.00,210.00,176.00,150.00,144.00,7.53,6.77,7.04,7.14,7.20
-4116520774694390150,42,50,80,503810396,2193156,2227519,1658986,1773415,19.00,30.00,24.00,23.00,21.00,116.00,170.00,140.00,132.00,124.00,6.11,5.67,5.83,5.74,5.90
4777861130183155189,43,50,79,504873193,1584556,1645720,1693206,1883178,27.00,29.00,27.00,28.00,27.00,134.00,142.00,134.00,138.00,134.00,4.96,4.90,4.96,4.93,4.96
8040105553260056334,44,50,76,504184271,1455835,3366902,1368650,1532281,19.00,26.00,21.00,22.00,21.00,166.00,208.00,176.00,180.00,176.00,8.74,8.00,8.38,8.18,8.38
